"id","long","lat","group","order","region"
1,836147,6557381,1,216,"RHONE-ALPES"
1,836486,6557831,1,217,"RHONE-ALPES"
1,836788,6558412,1,218,"RHONE-ALPES"
1,836841,6559072,1,219,"RHONE-ALPES"
1,837755,6560278,1,220,"RHONE-ALPES"
1,837998,6560571,1,221,"RHONE-ALPES"
1,838423,6561191,1,222,"RHONE-ALPES"
1,838630,6561504,1,223,"RHONE-ALPES"
1,839122,6563098,1,224,"RHONE-ALPES"
1,839096,6563434,1,225,"RHONE-ALPES"
1,838891,6563769,1,226,"RHONE-ALPES"
1,838244,6564211,1,227,"RHONE-ALPES"
1,837656,6564727,1,228,"RHONE-ALPES"
1,837497,6565086,1,229,"RHONE-ALPES"
1,837322,6565642,1,230,"RHONE-ALPES"
1,837296,6566760,1,231,"RHONE-ALPES"
1,838195,6568360,1,232,"RHONE-ALPES"
1,838210,6569087,1,233,"RHONE-ALPES"
1,838305,6570149,1,234,"RHONE-ALPES"
1,838392,6570494,1,235,"RHONE-ALPES"
1,838561,6570987,1,236,"RHONE-ALPES"
1,838771,6571560,1,237,"RHONE-ALPES"
1,839323,6572511,1,238,"RHONE-ALPES"
1,839491,6573973,1,239,"RHONE-ALPES"
1,839484,6574341,1,240,"RHONE-ALPES"
1,839509,6575012,1,241,"RHONE-ALPES"
1,839893,6575556,1,242,"RHONE-ALPES"
1,840509,6576407,1,243,"RHONE-ALPES"
1,840624,6576740,1,244,"RHONE-ALPES"
1,841071,6579364,1,245,"RHONE-ALPES"
1,841532,6580402,1,246,"RHONE-ALPES"
1,841677,6580752,1,247,"RHONE-ALPES"
1,842276,6582034,1,248,"RHONE-ALPES"
1,842425,6582355,1,249,"RHONE-ALPES"
1,842550,6582710,1,250,"RHONE-ALPES"
1,842476,6584213,1,251,"RHONE-ALPES"
1,842447,6584588,1,252,"RHONE-ALPES"
1,842316,6585328,1,253,"RHONE-ALPES"
1,842710,6586699,1,254,"RHONE-ALPES"
1,842862,6587024,1,255,"RHONE-ALPES"
1,843201,6587614,1,256,"RHONE-ALPES"
1,843392,6587897,1,257,"RHONE-ALPES"
1,843545,6588156,1,258,"RHONE-ALPES"
1,844000,6588936,1,259,"RHONE-ALPES"
1,844808,6590610,1,260,"RHONE-ALPES"
1,844996,6590931,1,261,"RHONE-ALPES"
1,845145,6592533,1,262,"RHONE-ALPES"
1,845212,6593305,1,263,"RHONE-ALPES"
1,845240,6593691,1,264,"RHONE-ALPES"
1,845232,6593998,1,265,"RHONE-ALPES"
1,845231,6594916,1,266,"RHONE-ALPES"
1,845304,6595364,1,267,"RHONE-ALPES"
1,845416,6595678,1,268,"RHONE-ALPES"
1,846764,6597260,1,269,"RHONE-ALPES"
1,846906,6597579,1,270,"RHONE-ALPES"
1,846910,6599239,1,271,"RHONE-ALPES"
1,846864,6599572,1,272,"RHONE-ALPES"
1,846860,6599712,1,273,"RHONE-ALPES"
1,846947,6600471,1,274,"RHONE-ALPES"
1,847642,6601373,1,275,"RHONE-ALPES"
1,847821,6601712,1,276,"RHONE-ALPES"
1,847903,6601983,1,277,"RHONE-ALPES"
1,847956,6602261,1,278,"RHONE-ALPES"
1,848103,6602899,1,279,"RHONE-ALPES"
1,848238,6603198,1,280,"RHONE-ALPES"
1,848324,6603297,1,281,"RHONE-ALPES"
1,849279,6603446,1,282,"RHONE-ALPES"
1,849305,6602777,1,283,"RHONE-ALPES"
1,849732,6602348,1,284,"RHONE-ALPES"
1,850482,6602598,1,285,"RHONE-ALPES"
1,851027,6603449,1,286,"RHONE-ALPES"
1,851804,6603592,1,287,"RHONE-ALPES"
1,853824,6603032,1,288,"RHONE-ALPES"
1,854144,6603192,1,289,"RHONE-ALPES"
1,854309,6602296,1,290,"RHONE-ALPES"
1,854453,6602020,1,291,"RHONE-ALPES"
1,857305,6600516,1,292,"RHONE-ALPES"
1,857606,6600305,1,293,"RHONE-ALPES"
1,858882,6600509,1,294,"RHONE-ALPES"
1,860672,6601907,1,295,"RHONE-ALPES"
1,862033,6601386,1,296,"RHONE-ALPES"
1,863255,6602303,1,297,"RHONE-ALPES"
1,863634,6602372,1,298,"RHONE-ALPES"
1,864160,6603168,1,299,"RHONE-ALPES"
1,865945,6602787,1,300,"RHONE-ALPES"
1,866023,6604240,1,301,"RHONE-ALPES"
1,867260,6603419,1,302,"RHONE-ALPES"
1,868765,6603221,1,303,"RHONE-ALPES"
1,868954,6602891,1,304,"RHONE-ALPES"
1,868714,6602636,1,305,"RHONE-ALPES"
1,869447,6601494,1,306,"RHONE-ALPES"
1,869251,6600830,1,307,"RHONE-ALPES"
1,869752,6600329,1,308,"RHONE-ALPES"
1,869955,6599248,1,309,"RHONE-ALPES"
1,869949,6598870,1,310,"RHONE-ALPES"
1,870688,6598890,1,311,"RHONE-ALPES"
1,871379,6598032,1,312,"RHONE-ALPES"
1,871608,6597742,1,313,"RHONE-ALPES"
1,872183,6598055,1,314,"RHONE-ALPES"
1,872504,6597944,1,315,"RHONE-ALPES"
1,873162,6597130,1,316,"RHONE-ALPES"
1,874194,6596976,1,317,"RHONE-ALPES"
1,874508,6596803,1,318,"RHONE-ALPES"
1,877344,6596684,1,319,"RHONE-ALPES"
1,878259,6594731,1,320,"RHONE-ALPES"
1,877244,6593759,1,321,"RHONE-ALPES"
1,877580,6593274,1,322,"RHONE-ALPES"
1,877237,6593135,1,323,"RHONE-ALPES"
1,876543,6593189,1,324,"RHONE-ALPES"
1,877354,6592627,1,325,"RHONE-ALPES"
1,879304,6591514,1,326,"RHONE-ALPES"
1,880382,6591512,1,327,"RHONE-ALPES"
1,881595,6590545,1,328,"RHONE-ALPES"
1,881876,6590365,1,329,"RHONE-ALPES"
1,882130,6590077,1,330,"RHONE-ALPES"
1,882725,6589683,1,331,"RHONE-ALPES"
1,882525,6589387,1,332,"RHONE-ALPES"
1,881772,6588627,1,333,"RHONE-ALPES"
1,881659,6588284,1,334,"RHONE-ALPES"
1,882686,6587387,1,335,"RHONE-ALPES"
1,882642,6587026,1,336,"RHONE-ALPES"
1,882566,6586679,1,337,"RHONE-ALPES"
1,882486,6586333,1,338,"RHONE-ALPES"
1,884790,6584612,1,339,"RHONE-ALPES"
1,884721,6584241,1,340,"RHONE-ALPES"
1,884972,6582736,1,341,"RHONE-ALPES"
1,884960,6582345,1,342,"RHONE-ALPES"
1,884964,6582245,1,343,"RHONE-ALPES"
1,885175,6581712,1,344,"RHONE-ALPES"
1,885459,6581631,1,345,"RHONE-ALPES"
1,886350,6585950,1,346,"RHONE-ALPES"
1,887404,6582731,1,347,"RHONE-ALPES"
1,887508,6582363,1,348,"RHONE-ALPES"
1,888831,6582723,1,349,"RHONE-ALPES"
1,889309,6583235,1,350,"RHONE-ALPES"
1,889635,6583364,1,351,"RHONE-ALPES"
1,890143,6582601,1,352,"RHONE-ALPES"
1,890442,6582483,1,353,"RHONE-ALPES"
1,890304,6581761,1,354,"RHONE-ALPES"
1,889844,6580004,1,355,"RHONE-ALPES"
1,889274,6579685,1,356,"RHONE-ALPES"
1,889219,6578163,1,357,"RHONE-ALPES"
1,890302,6577126,1,358,"RHONE-ALPES"
1,890621,6576915,1,359,"RHONE-ALPES"
1,892476,6577305,1,360,"RHONE-ALPES"
1,892701,6577535,1,361,"RHONE-ALPES"
1,893094,6577022,1,362,"RHONE-ALPES"
1,893396,6576907,1,363,"RHONE-ALPES"
1,895530,6577480,1,364,"RHONE-ALPES"
1,897029,6579152,1,365,"RHONE-ALPES"
1,897181,6579497,1,366,"RHONE-ALPES"
1,897397,6580192,1,367,"RHONE-ALPES"
1,898775,6580289,1,368,"RHONE-ALPES"
1,899135,6580220,1,369,"RHONE-ALPES"
1,899934,6580845,1,370,"RHONE-ALPES"
1,900229,6581845,1,371,"RHONE-ALPES"
1,900411,6582143,1,372,"RHONE-ALPES"
1,900475,6582612,1,373,"RHONE-ALPES"
1,900954,6584063,1,374,"RHONE-ALPES"
1,902662,6584870,1,375,"RHONE-ALPES"
1,902835,6585224,1,376,"RHONE-ALPES"
1,903475,6585953,1,377,"RHONE-ALPES"
1,903735,6585349,1,378,"RHONE-ALPES"
1,903792,6585006,1,379,"RHONE-ALPES"
1,903480,6583951,1,380,"RHONE-ALPES"
1,905267,6583912,1,381,"RHONE-ALPES"
1,906191,6583336,1,382,"RHONE-ALPES"
1,906438,6583060,1,383,"RHONE-ALPES"
1,906554,6582515,1,384,"RHONE-ALPES"
1,908870,6582276,1,385,"RHONE-ALPES"
1,909263,6580758,1,386,"RHONE-ALPES"
1,909084,6579206,1,387,"RHONE-ALPES"
1,909579,6577312,1,388,"RHONE-ALPES"
1,909869,6577046,1,389,"RHONE-ALPES"
1,910209,6577195,1,390,"RHONE-ALPES"
1,910511,6577410,1,391,"RHONE-ALPES"
1,912645,6577860,1,392,"RHONE-ALPES"
1,912985,6578003,1,393,"RHONE-ALPES"
1,916662,6577607,1,394,"RHONE-ALPES"
1,917027,6577539,1,395,"RHONE-ALPES"
1,917646,6577433,1,396,"RHONE-ALPES"
1,919524,6577499,1,397,"RHONE-ALPES"
1,920280,6578312,1,398,"RHONE-ALPES"
1,920809,6578270,1,399,"RHONE-ALPES"
1,920937,6577915,1,400,"RHONE-ALPES"
1,922616,6580045,1,401,"RHONE-ALPES"
1,922807,6580387,1,402,"RHONE-ALPES"
1,923939,6580132,1,403,"RHONE-ALPES"
1,924799,6583275,1,404,"RHONE-ALPES"
1,925102,6583489,1,405,"RHONE-ALPES"
1,925996,6583078,1,406,"RHONE-ALPES"
1,926322,6583034,1,407,"RHONE-ALPES"
1,926500,6583368,1,408,"RHONE-ALPES"
1,928735,6587684,1,409,"RHONE-ALPES"
1,929373,6589082,1,410,"RHONE-ALPES"
1,931565,6590648,1,411,"RHONE-ALPES"
1,932868,6592043,1,412,"RHONE-ALPES"
1,934441,6594694,1,413,"RHONE-ALPES"
1,934741,6595237,1,414,"RHONE-ALPES"
1,935011,6595394,1,415,"RHONE-ALPES"
1,935280,6595262,1,416,"RHONE-ALPES"
1,937887,6594481,1,417,"RHONE-ALPES"
1,938613,6593571,1,418,"RHONE-ALPES"
1,939697,6593182,1,419,"RHONE-ALPES"
1,941820,6591474,1,420,"RHONE-ALPES"
1,942899,6591153,1,421,"RHONE-ALPES"
1,943362,6590526,1,422,"RHONE-ALPES"
1,943396,6589794,1,423,"RHONE-ALPES"
1,942569,6588055,1,424,"RHONE-ALPES"
1,941361,6586648,1,425,"RHONE-ALPES"
1,941302,6586262,1,426,"RHONE-ALPES"
1,940475,6584781,1,427,"RHONE-ALPES"
1,940348,6584462,1,428,"RHONE-ALPES"
1,940022,6583767,1,429,"RHONE-ALPES"
1,939984,6583386,1,430,"RHONE-ALPES"
1,940067,6582008,1,431,"RHONE-ALPES"
1,939012,6581085,1,432,"RHONE-ALPES"
1,938797,6580798,1,433,"RHONE-ALPES"
1,939688,6578966,1,434,"RHONE-ALPES"
1,939933,6578710,1,435,"RHONE-ALPES"
1,940255,6578497,1,436,"RHONE-ALPES"
1,940487,6577363,1,437,"RHONE-ALPES"
1,940014,6576354,1,438,"RHONE-ALPES"
1,939083,6575676,1,439,"RHONE-ALPES"
1,937867,6576560,1,440,"RHONE-ALPES"
1,937503,6576474,1,441,"RHONE-ALPES"
1,936530,6575919,1,442,"RHONE-ALPES"
1,935860,6576242,1,443,"RHONE-ALPES"
1,934760,6574761,1,444,"RHONE-ALPES"
1,934405,6574876,1,445,"RHONE-ALPES"
1,934104,6575111,1,446,"RHONE-ALPES"
1,933433,6575151,1,447,"RHONE-ALPES"
1,932430,6574658,1,448,"RHONE-ALPES"
1,932123,6574446,1,449,"RHONE-ALPES"
1,931410,6573592,1,450,"RHONE-ALPES"
1,930717,6573328,1,451,"RHONE-ALPES"
1,930646,6572962,1,452,"RHONE-ALPES"
1,929246,6572640,1,453,"RHONE-ALPES"
1,928529,6570755,1,454,"RHONE-ALPES"
1,928493,6570636,1,455,"RHONE-ALPES"
1,930565,6569658,1,456,"RHONE-ALPES"
1,930869,6568993,1,457,"RHONE-ALPES"
1,930635,6568262,1,458,"RHONE-ALPES"
1,930022,6567942,1,459,"RHONE-ALPES"
1,929556,6566490,1,460,"RHONE-ALPES"
1,929409,6566136,1,461,"RHONE-ALPES"
1,928790,6564834,1,462,"RHONE-ALPES"
1,928955,6564138,1,463,"RHONE-ALPES"
1,928437,6563665,1,464,"RHONE-ALPES"
1,928176,6563414,1,465,"RHONE-ALPES"
1,927926,6563213,1,466,"RHONE-ALPES"
1,926716,6562977,1,467,"RHONE-ALPES"
1,926022,6562879,1,468,"RHONE-ALPES"
1,925429,6563195,1,469,"RHONE-ALPES"
1,924414,6562213,1,470,"RHONE-ALPES"
1,923656,6561877,1,471,"RHONE-ALPES"
1,923366,6561772,1,472,"RHONE-ALPES"
1,923206,6561421,1,473,"RHONE-ALPES"
1,922879,6560721,1,474,"RHONE-ALPES"
1,923466,6558981,1,475,"RHONE-ALPES"
1,922933,6558033,1,476,"RHONE-ALPES"
1,921435,6557992,1,477,"RHONE-ALPES"
1,920637,6558089,1,478,"RHONE-ALPES"
1,920376,6558361,1,479,"RHONE-ALPES"
1,919201,6559802,1,480,"RHONE-ALPES"
1,918528,6560124,1,481,"RHONE-ALPES"
1,917850,6559796,1,482,"RHONE-ALPES"
1,917976,6558352,1,483,"RHONE-ALPES"
1,917793,6558086,1,484,"RHONE-ALPES"
1,917240,6556959,1,485,"RHONE-ALPES"
1,917039,6555092,1,486,"RHONE-ALPES"
1,917272,6554880,1,487,"RHONE-ALPES"
1,917493,6554379,1,488,"RHONE-ALPES"
1,917422,6554067,1,489,"RHONE-ALPES"
1,917023,6553199,1,490,"RHONE-ALPES"
1,917112,6552905,1,491,"RHONE-ALPES"
1,917247,6551998,1,492,"RHONE-ALPES"
1,917349,6551662,1,493,"RHONE-ALPES"
1,917512,6550991,1,494,"RHONE-ALPES"
1,917016,6550077,1,495,"RHONE-ALPES"
1,917129,6549774,1,496,"RHONE-ALPES"
1,917439,6549249,1,497,"RHONE-ALPES"
1,917372,6548925,1,498,"RHONE-ALPES"
1,917469,6547610,1,499,"RHONE-ALPES"
1,917466,6547214,1,500,"RHONE-ALPES"
1,919398,6545305,1,501,"RHONE-ALPES"
1,919403,6544921,1,502,"RHONE-ALPES"
1,919343,6544157,1,503,"RHONE-ALPES"
1,919539,6543118,1,504,"RHONE-ALPES"
1,919119,6541791,1,505,"RHONE-ALPES"
1,918851,6541558,1,506,"RHONE-ALPES"
1,919195,6541470,1,507,"RHONE-ALPES"
2,735603,6861428,2,510,"PICARDIE"
2,735234,6861392,2,511,"PICARDIE"
2,734504,6861270,2,512,"PICARDIE"
2,733907,6859924,2,513,"PICARDIE"
2,733707,6860211,2,514,"PICARDIE"
2,732686,6860446,2,515,"PICARDIE"
2,732715,6860765,2,516,"PICARDIE"
2,733182,6861902,2,517,"PICARDIE"
2,732905,6862170,2,518,"PICARDIE"
2,731779,6862307,2,519,"PICARDIE"
2,731035,6863143,2,520,"PICARDIE"
2,729970,6862708,2,521,"PICARDIE"
2,729263,6863006,2,522,"PICARDIE"
2,729418,6863263,2,523,"PICARDIE"
2,729768,6864061,2,524,"PICARDIE"
2,729385,6864075,2,525,"PICARDIE"
2,728458,6863508,2,526,"PICARDIE"
2,728114,6863676,2,527,"PICARDIE"
2,728048,6865171,2,528,"PICARDIE"
2,727115,6866301,2,529,"PICARDIE"
2,727532,6867757,2,530,"PICARDIE"
2,726922,6869932,2,531,"PICARDIE"
2,726509,6868902,2,532,"PICARDIE"
2,724204,6867602,2,533,"PICARDIE"
2,723232,6868809,2,534,"PICARDIE"
2,722943,6869071,2,535,"PICARDIE"
2,722921,6869467,2,536,"PICARDIE"
2,722874,6870650,2,537,"PICARDIE"
2,722321,6872133,2,538,"PICARDIE"
2,722045,6871896,2,539,"PICARDIE"
2,720788,6871170,2,540,"PICARDIE"
2,719742,6870865,2,541,"PICARDIE"
2,719425,6871043,2,542,"PICARDIE"
2,719032,6871721,2,543,"PICARDIE"
2,719134,6871936,2,544,"PICARDIE"
2,719256,6872140,2,545,"PICARDIE"
2,718974,6872398,2,546,"PICARDIE"
2,718711,6873515,2,547,"PICARDIE"
2,718666,6873884,2,548,"PICARDIE"
2,718008,6875153,2,549,"PICARDIE"
2,716926,6875226,2,550,"PICARDIE"
2,716773,6876523,2,551,"PICARDIE"
2,716456,6876401,2,552,"PICARDIE"
2,716342,6876748,2,553,"PICARDIE"
2,715318,6877116,2,554,"PICARDIE"
2,715290,6877441,2,555,"PICARDIE"
2,714559,6878449,2,556,"PICARDIE"
2,712551,6879190,2,557,"PICARDIE"
2,711923,6880017,2,558,"PICARDIE"
2,711952,6880719,2,559,"PICARDIE"
2,712910,6881294,2,560,"PICARDIE"
2,713241,6882726,2,561,"PICARDIE"
2,713935,6882999,2,562,"PICARDIE"
2,713938,6883361,2,563,"PICARDIE"
2,713220,6884046,2,564,"PICARDIE"
2,713280,6884716,2,565,"PICARDIE"
2,713159,6885085,2,566,"PICARDIE"
2,712266,6886352,2,567,"PICARDIE"
